City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Palmer,US,42.1584,-72.3287,43.92,72,100,4.27,overcast clouds
205,Honningsvag,NO,70.9821,25.9704,31.75,74,75,25.32,light snow
206,Kuryk,KZ,43.2,51.65,48.58,64,61,8.77,broken clouds
207,Murray Bridge,AU,-35.1167,139.2667,73.83,39,42,15.3,scattered clouds
208,La Ronge,CA,55.1001,-105.2842,28.65,86,1,2.3,clear sky
209,Sokolac,BA,43.9397,18.8017,38.37,84,78,1.5,broken clouds
210,Kurilsk,RU,45.2333,147.8833,44.62,61,99,5.32,overcast clouds
211,Belaya Gora,RU,68.5333,146.4167,-10.97,98,100,1.16,overcast clouds
212,Pasaco,GT,13.9772,-90.2064,72.07,68,80,8.21,broken clouds
213,Juazeiro,BR,-9.4117,-40.4986,75.38,100,40,0.0,light rain
214,Victoria,HK,22.2855,114.1577,72.03,58,28,3.0,scattered clouds
215,Chumikan,RU,54.7183,135.315,25.95,52,0,19.53,clear sky
216,Almeria,ES,37.1667,-2.3333,43.77,39,0,6.96,clear sky
217,Upernavik,GL,72.7868,-56.1549,9.54,72,3,5.79,clear sky
218,Touros,BR,-5.1989,-35.4608,77.9,78,73,10.4,broken clouds
219,Stilfontein,ZA,-26.8449,26.7683,68.74,64,100,15.28,overcast clouds
220,Sobolevo,RU,54.4299,31.8996,42.08,87,100,15.48,overcast clouds
221,Hami,CN,42.8,93.45,33.4,29,1,6.24,clear sky
222,Aksu,CN,41.1231,80.2644,34.99,24,0,1.41,clear sky
223,Tiznit,MA,29.5833,-9.5,52.63,43,0,6.26,clear sky
224,Katherine,AU,-14.4667,132.2667,93.52,52,40,14.97,scattered clouds
225,Hobyo,SO,5.3505,48.5268,81.3,61,49,12.1,scattered clouds
226,Yeppoon,AU,-23.1333,150.7333,85.78,64,87,9.86,overcast clouds
227,Asau,RO,46.4333,26.4,52.75,79,100,4.72,overcast clouds
228,Vila Velha,BR,-20.3297,-40.2925,70.95,91,90,2.3,overcast clouds
229,Sueca,ES,39.2026,-0.3111,59.49,62,4,3.0,clear sky
230,Dungarvan,IE,52.0881,-7.6253,55.62,100,100,5.99,moderate rain
231,Tasiilaq,GL,65.6145,-37.6368,26.76,73,100,5.17,overcast clouds
232,Waterloo,CA,43.4668,-80.5164,48.6,93,45,3.0,scattered clouds
233,Kavieng,PG,-2.5744,150.7967,85.05,70,10,15.57,light rain
234,Alta Gracia,AR,-31.6529,-64.4283,56.17,79,30,3.49,scattered clouds
235,Huarmey,PE,-10.0681,-78.1522,63.82,86,99,6.85,overcast clouds
236,Bayji,IQ,34.9311,43.487,63.7,24,1,7.16,clear sky
237,Fortuna,US,40.5982,-124.1573,44.94,68,1,4.61,clear sky
238,Luba,GQ,3.4568,8.5547,71.49,81,92,2.75,overcast clouds
239,Swan River,CA,52.1058,-101.2676,35.49,60,0,13.8,clear sky
240,Changtu,CN,42.7788,124.0955,28.2,93,100,16.4,overcast clouds
241,Oktyabrskoye,RU,43.0645,44.7417,46.54,93,90,2.24,overcast clouds
242,Dalby,AU,-27.1833,151.2667,79.77,57,97,16.28,overcast clouds
243,Taltal,CL,-25.4,-70.4833,61.34,74,0,2.62,clear sky
244,The Valley,AI,18.217,-63.0578,78.1,73,57,15.32,broken clouds
245,Acajutla,SV,13.5928,-89.8275,78.13,60,88,8.01,overcast clouds
246,Bone,DE,51.9669,12.1396,46.62,84,98,14.25,overcast clouds
247,Kirkuk,IQ,35.4681,44.3922,59.92,25,0,8.41,clear sky
248,Meulaboh,ID,4.1363,96.1285,75.49,95,100,6.4,overcast clouds
249,Pauini,BR,-7.7136,-66.9764,73.29,94,93,0.29,overcast clouds
250,Monrovia,LR,6.3005,-10.7969,77.61,85,66,1.97,light rain
251,Karmala,IN,18.4167,75.2,80.51,28,64,8.66,broken clouds
252,College,US,64.8569,-147.8028,24.75,88,90,3.44,light snow
253,Duncan,US,34.5023,-97.9578,57.38,67,1,12.66,clear sky
254,Odesskoye,RU,54.2111,72.9651,37.81,36,83,20.02,broken clouds
255,Turbat,PK,26.0023,63.044,83.16,14,0,7.76,clear sky
256,Sitka,US,57.0531,-135.33,44.49,53,1,12.66,clear sky
257,Conde,BR,-7.2597,-34.9075,76.46,88,20,4.61,few clouds
258,Isangel,VU,-19.55,169.2667,78.91,69,63,3.44,broken clouds
259,San Francisco,US,37.7749,-122.4194,54.25,75,40,1.01,scattered clouds
260,Pokhara,NP,28.2333,83.9833,69.57,65,29,5.06,scattered clouds
261,Severo-Kurilsk,RU,50.6789,156.125,36.52,68,99,24.43,light rain
262,Twentynine Palms,US,34.1356,-116.0542,68.07,21,0,4.18,clear sky
263,Benghazi,LY,32.1167,20.0667,68.79,62,85,12.59,overcast clouds
264,Dakar,SN,14.6937,-17.4441,76.08,66,70,15.61,broken clouds
265,Houma,US,29.5958,-90.7195,51.8,95,0,3.96,clear sky
266,Ucluelet,CA,48.9329,-125.5528,40.08,90,83,11.01,broken clouds
267,Dongsheng,CN,39.8161,109.9776,24.51,49,0,16.8,clear sky
268,Chabahar,IR,25.2919,60.643,77.86,45,0,2.19,clear sky
269,Paamiut,GL,61.994,-49.6678,20.89,66,19,9.1,few clouds
270,Beringovskiy,RU,63.05,179.3167,14.36,95,52,5.79,broken clouds
271,Benjamin Aceval,PY,-24.9667,-57.5667,75.6,69,24,2.68,few clouds
272,Saldanha,ZA,-33.0117,17.9442,59.05,73,81,19.93,broken clouds
273,Crotone,IT,39.0851,17.1178,60.93,82,97,8.66,overcast clouds
274,Grand Gaube,MU,-20.0064,57.6608,81.37,68,26,11.99,scattered clouds
275,Sambava,MG,-14.2667,50.1667,79.92,69,55,10.69,broken clouds
276,Aklavik,CA,68.2191,-135.0107,18.32,96,94,5.99,overcast clouds
277,Mutsu,JP,41.2894,141.2169,61.12,75,95,12.91,overcast clouds
278,Lazaro Cardenas,MX,17.9583,-102.2,77.05,88,62,3.38,broken clouds
279,Andenes,NO,69.3143,16.1194,35.58,69,75,18.41,broken clouds
280,Mokhsogollokh,RU,61.4681,128.9203,20.12,83,99,5.88,overcast clouds
281,Port Macquarie,AU,-31.4333,152.9167,75.16,64,60,10.83,broken clouds
282,Vestmanna,FO,62.1564,-7.1664,43.72,100,75,24.16,broken clouds
283,Oistins,BB,13.0667,-59.5333,80.69,74,40,13.8,scattered clouds
284,Chuy,UY,-33.6971,-53.4616,52.36,86,12,1.01,few clouds
285,Beloha,MG,-25.1667,45.05,85.91,36,38,5.84,scattered clouds
286,Zuwarah,LY,32.9312,12.082,69.57,72,81,4.05,broken clouds
287,Pulgaon,IN,20.7333,78.3333,78.01,38,25,8.16,scattered clouds
