City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Qui Nhon,VN,81.1,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
298,Wanning,CN,71.91,broken clouds,18.8003,110.3967,Paradise Hotel
300,Bubaque,GW,82.96,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
301,Harper,LR,77.63,moderate rain,4.375,-7.7169,Screensaver
303,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
305,Marawi,PH,77.65,scattered clouds,7.9986,124.2928,Derogongan Residence
312,Atar,MR,70.66,broken clouds,20.5169,-13.0499,Oumou Elghoura
313,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
314,Mana,GF,77.95,overcast clouds,5.6592,-53.7767,LE SAMANA
315,Cap Malheureux,MU,81.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
316,Quatre Cocos,MU,81.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
317,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
319,Dwarka,IN,84.42,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
320,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
325,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
329,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
330,Alta Floresta,BR,70.27,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
332,Kaele,CM,78.78,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
333,Sabang,ID,80.62,overcast clouds,5.8933,95.3214,Hotel Citra
334,Mayumba,GA,75.94,moderate rain,-3.432,10.6554,LIKWALE LODGE
335,Chateaubelair,VC,79.41,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
337,Vao,NC,72.86,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
340,Gbarnga,LR,70.54,broken clouds,6.9956,-9.4722,Passion Hotel 2
341,Nabire,ID,85.73,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
345,Fare,PF,79.3,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
346,Nhulunbuy,AU,92.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
349,Altamira,BR,74.23,broken clouds,-3.2033,-52.2064,Requinte Hotel
352,Mae Chan,TH,87.46,few clouds,20.1467,99.8526,Kiang Dao Resort
361,Gwadar,PK,79.18,clear sky,25.1216,62.3254,Sadaf Resort
362,Ishigaki,JP,69.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
363,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
365,Inirida,CO,73.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
366,Tabuk,PH,88.2,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
367,Kahului,US,77.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
368,Sinnamary,GF,78.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
369,Alappuzha,IN,80.11,overcast clouds,9.49,76.3264,Panoramic Sea Resort
370,Lungi,SL,72.68,broken clouds,9.2212,-12.6831,Lungi Airport Lodge
371,Pringsewu,ID,86.18,overcast clouds,-5.3582,104.9744,Urban Style by Front One
376,Tondano,ID,79.97,overcast clouds,1.3038,124.9112,Villa Bella
377,Betioky,MG,85.46,scattered clouds,-23.7167,44.3833,Bungalows Acacias Hotel
389,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
396,Hervey Bay,AU,78.91,moderate rain,-25.2986,152.8535,Shelly Bay Resort
402,Kabinda,CD,68.13,broken clouds,-6.1333,24.4833,Village Mianda Mutole
404,Mamallapuram,IN,78.85,heavy intensity rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
407,Taunggyi,MM,76.96,scattered clouds,20.7833,97.0333,True Treasure Hotel
410,Nuevitas,CU,71.04,overcast clouds,21.5453,-77.2644,Hotel Caonaba
413,Abu Zabad,SD,76.06,clear sky,12.35,29.25,حامد محمد نور
414,Ngunguru,NZ,71.17,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
416,Coahuayana,MX,75.58,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
417,Chipinge,ZW,79.14,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
427,Cururupu,BR,75.24,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
428,Kota Bahru,MY,87.8,few clouds,6.1333,102.2386,Grand Riverview Hotel
432,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
435,Moussoro,TD,77.63,overcast clouds,13.6408,16.4901,Hôtel Salama
436,Phalombe,MW,80.2,clear sky,-15.8064,35.6507,RIVONIA
439,Pizarro,CO,75.06,light rain,4.9533,-77.366,Hotel Limonar
440,Itarema,BR,77.63,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
442,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
443,Amalapuram,IN,82.78,broken clouds,16.5833,82.0167,swayamprabha service apartments
449,Sampit,ID,77.54,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
450,Nampula,MZ,78.91,clear sky,-15.1165,39.2666,BUTIK Hotel
